Key	WorldX	WorldY	WorldZ	Classname	micFileName	Eventnumber	Posixtime	ImgX1	ImgY1	ImgX2	ImgY2
6303	203551.510199	544697.644781	50.341797	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502153811.mic	121113	2022-05-02 06:38:20.439904(utc)	1319	1577	1559	1641
6304	203739.906806	544507.802557	41.328598	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145006.mic	92583	2022-05-02 05:50:47.440442(utc)	1717	1293	1795	1307
6305	203920.985053	544685.140630	33.223255	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134501.mic	53187	2022-05-02 04:45:07.842716(utc)	2869	1418	2995	1446
6306	205026.341117	545267.981512	18.870508	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502154511.mic	125506	2022-05-02 06:45:39.737196(utc)	2404	1083	2430	1157
6307	203972.587958	544754.199712	31.070600	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134401.mic	53009	2022-05-02 04:44:50.041424(utc)	2100	1355	2196	1373
6308	203528.380927	544421.169439	52.418735	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143106.mic	80830	2022-05-02 05:31:12.147043(utc)	1782	2025	1934	2101
6309	203520.417914	544175.281408	36.335398	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142506.mic	77525	2022-05-02 05:25:41.644275(utc)	1338	1484	1490	1520
6310	203820.421210	544310.460943	34.323824	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502141606.mic	72270	2022-05-02 05:16:56.141610(utc)	1239	1625	1417	1677
6311	203003.294135	544484.618963	30.441198	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502133501.mic	47271	2022-05-02 04:35:16.243333(utc)	2297	1280	2379	1298
6312	203759.921698	544320.049200	34.723717	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502141606.mic	72002	2022-05-02 05:16:29.339256(utc)	1627	1063	1661	1111
6313	203639.159980	542907.036565	32.258160	noLeftTurn	2205021311_M008C35L03G031_6762/01_camera/01/220502132201.mic	39846	2022-05-02 04:22:53.734574(utc)	1812	159	2100	299
6314	203893.066352	544742.639104	31.785292	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134201.mic	51336	2022-05-02 04:42:02.754337(utc)	312	1822	604	1924
6315	203967.766547	544756.949224	36.694345	noLeftTurn	2205021311_M008C35L03G031_6762/01_camera/01/220502134401.mic	53012	2022-05-02 04:44:50.341619(utc)	1374	1316	1454	1330
6316	203807.541938	544485.480047	40.814764	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144206.mic	87835	2022-05-02 05:42:52.641984(utc)	3110	1367	3184	1385
6317	203739.087104	542924.747564	24.447152	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502132201.mic	39696	2022-05-02 04:22:38.745130(utc)	2285	1043	2315	1073
6318	203876.707709	542957.150884	20.036764	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502131801.mic	37252	2022-05-02 04:18:34.337332(utc)	2166	1063	2196	1091
6319	203455.086737	544523.393072	58.274097	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150013.mic	98503	2022-05-02 06:00:39.446021(utc)	1448	1430	1556	1450
6320	204400.702521	544821.565557	34.603268	TrafficLight_road	2205021311_M008C35L03G031_6762/01_camera/01/220502140406.mic	64913	2022-05-02 05:04:40.437661(utc)	225	991	281	1109
6321	203677.087958	544661.395940	44.010178	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150911.mic	104036	2022-05-02 06:09:52.742627(utc)	2896	1380	2984	1398
6322	203611.683661	544459.504949	46.890799	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144806.mic	91374	2022-05-02 05:48:46.545648(utc)	1512	1491	1578	1511
